Game,iOS,Android,Paid,Reviews (iOS),Average Stars(iOS),Category(iOS),URL(iOS),Last Updated (iOS),Reviews (Android),Average Stars (Android),Installs (Android),Category(Android),URL(Android),Last Updated (Android),Goals,Challenges,Competition/Leaderboards,Collaboration,Social Influences,High Scores,Badges,Plot,Narrative,Points,Levels,Unlockable Content,Lifelines,Real-life-incentives,Remarks
Brainwalk,yes,yes,free,1,1,Health & Fitness,https://apps.apple.com/us/app/brainwalk/id1325636151,43927,20,3.5,1000,Health & Fitness,https://play.google.com/store/apps/details?id=com.brainwalk.app&utm_source=appgrooves&utm_medium=agp_d01504c5a9bc843f263b2686500b160d_com.brainwalk.app_us_others_15732453055902,43927,yes,,,yes,yes,,,,,,,,,,
Fit the Fat 2,yes,yes,in-app,8800,4.3,Games,https://apps.apple.com/us/app/fit-the-fat-2/id992309647,43643,38316,3.6,5000000,Sports,https://play.google.com/store/apps/details?id=com.fivebits.fitthefat2,43643,yes,yes,,,,,,,yes,yes,,,,,
The Outbreak,yes,yes,free,27,2.8,Games,https://apps.apple.com/us/app/the-outbreak-challenge/id1254196799,43769,105,2.1,10000,Casual,https://play.google.com/store/apps/details?id=com.FIX.TheOutbreak,43769,,yes,yes,yes,yes,,,,yes,yes,,,,,
Space Cupcake,yes,yes,free,1,5,Games,https://apps.apple.com/us/app/space-cupcake/id952957266,42289,52,4.3,1000,Action,https://play.google.com/store/apps/details?id=com.mdbs.spacecc&hl=en_US,42654,,yes,yes,yes,yes,,,yes,yes,yes,yes,,,,
Garfield Fit,yes,yes,free,7,2.7,Health & Fitness,https://apps.apple.com/us/app/garfield-walk/id1164775583,42976,728,3.6,100000,Health & Fitness,https://play.google.com/store/apps/details?id=com.webprancer.google.garfieldFit&hl=en_US,42971,yes,,,,yes,yes,,,,yes,yes,yes,,,
Runbit,yes,yes,in-app,N/A,N/A,Health & Fitness,https://apps.apple.com/us/app/runbit/id940383157,43937,209,3.7,10000,Health & Fitness,https://play.google.com/store/apps/details?id=se.soderstrom.runbit&hl=en_US,43937,,yes,yes,yes,yes,,yes,,yes,yes,,,,,
Wanderer,no,yes,free,801,4.6,Games,https://apps.apple.com/us/app/the-wanderer/id1365548683,43932,N/A,N/A,10,Sports,https://play.google.com/store/apps/details?id=io.kodular.teamcardinals1920.WANDERER,43745,,yes,yes,,yes,,,,,,,,,,
Hops - Journey of Tree Spirit,yes,no,in-app,88,4.7,Health & Fitness,https://apps.apple.com/us/app/hops-journey-of-tree-spirit/id1433717138,43904,N/A,N/A,,,N/A,,yes,,yes,yes,yes,,,,yes,,,yes,,,
One You Active 10 Walking Tracker,yes,yes,free,1,5,Health & Fitness,https://apps.apple.com/si/app/one-you-active-10-walk-tracker/id1204295312,43901,3135,4.2,100000,Health & Fitness,https://play.google.com/store/apps/details?id=uk.ac.shef.oak.pheactiveten&hl=en_US,43867,yes,,,,yes,yes,yes,,,,,,,,
PuzzleWalk,yes,yes,free,5,3.6,Games,https://apps.apple.com/us/app/puzzlewalk/id1450986746,43728,2,5,10,Puzzle,https://play.google.com/store/apps/details?id=com.puzzlewalk.iupui&hl=en_US,43711,yes,yes,yes,yes,yes,,,,yes,yes,yes,,,yes,
"Paidtogo - Walk, Run and Earn",yes,no,in-app,622,4.5,Health & Fitness,https://apps.apple.com/us/app/paidtogo-walk-run-and-earn/id1155114763,43938,N/A,N/A,,,N/A,,,yes,yes,,yes,,,,,yes,,,,yes,
StepBet: Get Active & Stay Fit,yes,yes,free,9600,4.8,Health & Fitness,https://apps.apple.com/us/app/stepbet-walk-get-active-win/id1056175729,43922,4437,4.6,100000,Health & Fitness,https://play.google.com/store/apps/details?id=com.stepbet.app,43885,yes,yes,yes,,yes,,,,,,,,,yes,
"Challenges - Compete, Get Fit",yes,no,free,2300,4.6,Health & Fitness,https://apps.apple.com/us/app/challenges-compete-get-fit/id1051342211,43936,N/A,N/A,,,N/A,,,yes,yes,yes,yes,yes,yes,,,yes,yes,,,,
Walk for a Dog: Walking for Animal Shelter Support,yes,yes,free,117,3.1,Lifestyle,https://apps.apple.com/us/app/wooftrax-walk-for-a-dog/id643857704,43875,2568,3.2,100000,Health & Fitness,https://play.google.com/store/apps/details?id=com.actionxl.wooftrax.wfad,43937,yes,yes,,yes,yes,,,,,yes,yes,,,yes,
Yes.Fit,yes,yes,free,628,4.6,Health & Fitness,https://apps.apple.com/us/app/yes-fit/id1300316494,43935,816,4.2,50000,Health & Fitness,https://play.google.com/store/apps/details?id=com.yesfitclient,43937,yes,yes,,,yes,,yes,,yes,,,,,yes,
Fitness Village - The Game,yes,no,in-app,N/A,N/A,Games,https://apps.apple.com/us/app/fitness-village-the-game/id1272662536,43327,,,,,N/A,,,yes,yes,,yes,yes,,,yes,yes,yes,yes,,,
Stridekick,yes,yes,free,68,4.1,Health & Fitness,https://apps.apple.com/us/app/stridekick-2-0/id1484402218,43917,95,3.6,10000,Health & Fitness,https://play.google.com/store/apps/details?id=com.stridekick.Stridekick&hl=en_US,43916,yes,yes,yes,,yes,yes,,,yes,,,,,,
Wokamon - Monster Walk Quest,yes,yes,in-app,363,4.5,Health & Fitness,https://apps.apple.com/us/app/wokamon-fitness-game/id686364904,43916,9499,4.2,100000,Health & Fitness,https://play.google.com/store/apps/details?id=com.wokamon.android,43903,yes,,,,,,yes,,yes,yes,yes,,,,
Fitness RPG - Gamify Your Pedometer,yes,yes,in-app,606,4.6,Games,https://apps.apple.com/us/app/fitness-rpg-walking-games/id1252580641,43883,3839,4.2,100000,Health & Fitness,https://play.google.com/store/apps/details?id=com.shikudo.fitrpg.google,43906,yes,yes,,,,,,yes,yes,yes,yes,yes,,,
"Zombies, Run!",yes,yes,in-app,14200,4.8,Health & Fitness,https://apps.apple.com/us/app/zombies-run/id503519713,43934,19508,4.2,1000000,Health & Fitness,https://play.google.com/store/apps/details?id=com.sixtostart.zombiesrunclient,43924,yes,,yes,,,yes,,yes,yes,yes,,yes,,,
Walk with Friends,yes,no,in-app,8,4.1,Health & Fitness,https://apps.apple.com/us/app/walk-with-friends/id1008343335,43389,,,,,,,,yes,yes,yes,yes,,,,yes,,,,,,
Yodo Cash for Running,no,yes,in-app,,,,,,38919,4.1,1000000,Health & Fitness,https://play.google.com/store/apps/details?id=com.yuedong.sporti&hl=en_US,43885,yes,,yes,,yes,,,,,yes,,yes,,yes,
Lost Tides,yes,yes,free,7,5,Games,https://apps.apple.com/us/app/lost-tides/id1440665066,43608,1,5,50,Adventure,https://play.google.com/store/apps/details?id=com.FIX.LostTides&hl=en_US,43608,yes,yes,,yes,yes,,,yes,yes,yes,,yes,,,
bfit-Smart,yes,yes,free,5,3.2,Health & Fitness,https://apps.apple.com/za/app/bfit-smart/id1356462543,,33,2.2,10000,Health & Fitness,https://play.google.com/store/apps/details?id=com.hinteen.bsmart&hl=en_US,43531,yes,,yes,,yes,,,,,,,,,,
"Vingo - Steps, Stars, Cash",removed,removed,free,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,
Lifecoin,yes,yes,free,8000,4.7,Health & Fitness,https://apps.apple.com/us/app/lifecoin-rewards-for-walking/id1336319374,43494,1686,3.8,100000,Health & Fitness,https://play.google.com/store/apps/details?id=com.azumio.android.lifecoin&hl=en_US,,,,,yes,yes,,,,,,,,,yes,
Pacer Pedometer - Step Tracker ,yes,yes,free,92800,4.9,Health & Fitness,https://apps.apple.com/us/app/pacer-pedometer-step-tracker/id600446812,43931,709761,4.7,10000000,Health & Fitness,https://play.google.com/store/apps/details?id=cc.pacer.androidapp&hl=en_US,43938,yes,yes,yes,,yes,,yes,,,,yes,,,,
FeetApart - Walk and Earn Rewards,yes,yes,free,333,4.2,Health & Fitness,https://apps.apple.com/in/app/feetapart-wellness/id1149275488,43905,6496,3.6,100000,Health & Fitness,https://play.google.com/store/apps/details?id=com.feetapart.android&hl=en_US,43910,,,,,yes,yes,,,,,,,,yes,
Vantage Fit,yes,yes,free,N/A,N/A,Health & Fitness,https://apps.apple.com/kw/app/vantage-fit/id1393594182,43939,75,4.8,1000,Health & Fitness,https://play.google.com/store/apps/details?id=com.bargaintechnologies.vantagefit.v_fit&hl=en_US,43718,yes,yes,yes,,yes,,yes,,,yes,yes,,,yes,also a food tracker
Sonic Boom Wellness,yes,yes,free,63,2.7,Health & Fitness,https://apps.apple.com/us/app/sonic-boom-wellness/id1219421380,43723,64,3.4,10000,Health & Fitness,https://play.google.com/store/apps/details?id=com.sbwell.mobile,43622,yes,,yes,yes,yes,yes,,,,yes,,,,yes,
